0.0875,35
0.175,115
0.2625,238
0.35,428
0.4375,661
0.525,972
0.6125,1459
0.7,2169
0.7875,3691
0.875,5688
0.0875,39
0.175,121
0.2625,238
0.35,413
0.4375,646
0.525,999
0.6125,1509
0.7,2107
0.7875,3113
0.875,4702
0.075,31
0.15,95
0.225,193
0.3,359
0.375,562
0.45,820
0.525,1130
0.6,1578
0.675,2152
0.75,2869
0.075,31
0.15,93
0.225,195
0.3,348
0.375,543
0.45,790
0.525,1125
0.6,1602
0.675,2163
0.75,3064
0.1,41
0.2,127
0.3,264
0.4,486
0.5,789
0.6,1208
0.7,1824
0.8,2791
0.9,4566
1.0,10130
0.1,43
0.2,136
0.3,278
0.4,489
0.5,770
0.6,1199
0.7,1961
0.8,2839
0.9,4787
1.0,13776
0.1,45
0.2,137
0.3,278
0.4,476
0.5,818
0.6,1266
0.7,1893
0.8,2949
0.9,5437
1.0,11208
0.0625,26
0.125,79
0.1875,166
0.25,283
0.3125,432
0.375,627
0.4375,866
0.5,1164
0.5625,1547
0.625,1994
0.0625,26
0.125,80
0.1875,166
0.25,275
0.3125,429
0.375,624
0.4375,858
0.5,1161
0.5625,1519
0.625,2050
0.0625,26
0.125,80
0.1875,161
0.25,275
0.3125,417
0.375,612
0.4375,863
0.5,1162
0.5625,1549
0.625,1977
0.0925,38
0.185,119
0.2775,247
0.37,436
0.4625,715
0.555,1077
0.6475,1577
0.74,2330
0.8325,3497
0.925,6007
0.0925,37
0.185,117
0.2775,248
0.37,437
0.4625,699
0.555,1102
0.6475,1633
0.74,2293
0.8325,3428
0.925,6312
0.095,41
0.19,125
0.285,283
0.38,469
0.475,743
0.57,1159
0.665,1672
0.76,2597
0.855,4085
0.95,8424
0.095,38
0.19,127
0.285,262
0.38,458
0.475,756
0.57,1115
0.665,1710
0.76,2723
0.855,4341
0.95,7094
