
0.0875,38
0.2625,165
0.4375,409
0.6125,393
0.0875,38
0.2625,169
0.4375,403
0.6125,400
0.0875,38
0.2625,178
0.4375,453
0.6125,433
0.0875,39
0.175,82
0.0875,129
0.4375,268
0.525,310
0.6125,423
0.0875,39
0.175,84
0.0875,125
0.4375,268
0.525,359
0.6125,428
0.095,41
0.19,92
0.475,299
0.57,401
0.075,32
0.15,77
0.375,203
0.45,282
0.525,329
0.525,408
0.525,423
0.525,448
0.0625,25
0.125,51
0.3125,196
0.375,205
0.4375,291
0.0625,26
0.125,57
0.3125,177
0.375,200
0.4375,286
0.0625,26
0.125,57
0.3125,181
0.375,198
0.4375,262
0.4375,286
0.25,126
0.5,342
0.05,24
0.1,40
0.25,135
0.3,149
0.35,188
0.055,25
0.11,46
0.275,144
0.33,179
0.385,214
0.055,23
0.11,49
0.275,157
0.33,175
0.385,211
