0.1,510941
0.2,1651146
0.3,3158977
0.4,5191322
0.5,7759345
0.6,10541938
0.7,14123689
0.8,18182063
0.9,22938308
1.0,28233416
0.1,512591
0.2,1519723
0.3,3016206
0.4,5083637
0.5,7813821
0.6,10397559
0.7,13922133
0.8,17802995
0.9,21808665
1.0,26763578
0.1,594732
0.2,1611651
0.3,3119903
0.4,5112775
0.5,7650920
0.6,10268203
0.7,13657348
0.8,17843617
0.9,22545985
1.0,27974410
0.1,534705
0.2,1455514
0.3,2893255
0.4,4910966
0.5,7028738
0.6,10059281
0.7,13436325
0.8,17691521
0.9,22001917
1.0,26735727
0.1,557219
0.2,1709916
0.3,3118101
0.4,5150365
0.5,7535755
0.6,10874264
0.7,14277970
0.8,18309041
0.9,22720600
1.0,27512366
0.1,502512
0.2,1420015
0.3,2967967
0.4,5044567
0.5,7478552
0.6,10771631
0.7,14870887
0.8,19105192
0.9,23505178
1.0,28949618
0.1,482397
0.2,1450720
0.3,3069792
0.4,5148952
0.5,7655697
0.6,10600519
0.7,14563452
0.8,19017918
0.9,23266851
1.0,28218406
0.1,480283
0.2,1379332
0.3,2832417
0.4,4800071
0.5,7541738
0.6,10545230
0.7,13871690
0.8,17717290
0.9,22290972
1.0,27451203
0.1,521896
0.2,1459458
0.3,3065211
0.4,5058168
0.5,7891656
0.6,11454533
0.7,15109920
0.8,18979207
0.9,23390539
1.0,28294271
0.1,460811
0.2,1459679
0.3,2902726
0.4,4910434
0.5,7712733
0.6,10584184
0.7,14116980
0.8,18315141
0.9,23029988
1.0,28026572
